child,parent,eligible,score,contain,cosine,jaccard,parent_preserved,added_ops,exact_cross_level_duplicate,op_signature_seen_lower,child_text,parent_text
3-20,2-5,True,0.6292,0.7778,0.6917,0.2917,True,calendar.create;pdf.write;reason.check;word.write,False,False,"Check if the submitted fellowship application PDF material satisfies the school policy, write yes or no in result.docx, and schedule a meeting with officer at 1:00 p.m 5/31/2024, save in meeting.ics",Does the submitted fellowship application PDF material satisfie the school policy?
3-21,2-5,False,0.6875,0.7778,0.7694,0.4118,True,fs.folder;pdf.write;reason.check;word.write,False,False,"Check if the submitted fellowship application PDF material satisfies the school policy, write yes or no in result.docx, save application into folder named application",Does the submitted fellowship application PDF material satisfie the school policy?
3-22,2-6,False,0.9013,1.0,0.9278,0.8333,True,fs.folder;image.write;pdf.write;word.write,False,False,"Scan PDF homework and save as homework.docx for editing, save homework file into folder named homework",Scan PDF homework to homework.docx for editing
3-23,2-6,True,0.7417,1.0,0.7819,0.3333,True,calendar.create;calendar.read,False,False,"Scan PDF homework to homework.docx for editing, make a calendar event due.ics to remind that homework is due on 5/31/2024 at 11:59 p.m",Scan PDF homework to homework.docx for editing
3-24,2-7,True,0.7454,1.0,0.7062,0.4286,True,calendar.create,False,False,"Extract key points from PDF research papers, summarize them in abstract.docx, and save it for reference, schedule a meeting saved in meeting.ics with professor Dan at 5/31/2024 at 11:00 a.m to talk about paper","Extract key points from PDF research papers, summarize them in paper.docx, and save it for reference"
3-25,2-6,True,0.8916,1.0,0.9461,0.7143,True,image.write;pdf.write;word.write,False,False,"Scan PDF homework to homework.docx for editing, save homework word file to new_homework.pdf",Scan PDF homework to homework.docx for editing
3-26,2-7,True,0.7675,0.8889,0.7509,0.5714,True,email.read,False,False,"Extract key points from PDF research papers, summarize them in abstract.docx, and save it in email to professor Dan named paper.eml","Extract key points from PDF research papers, summarize them in paper.docx, and save it for reference"
3-27,2-8,True,0.5471,0.5455,0.6446,0.3333,True,email.read;email.send,False,False,"Use OCR to extract text from Bob's card and convert them into contact.xlsx with contact information, email excel file to manager Alice named Bob.eml to introduce contact information about Bob","Use OCR to extract text from business cards and convert them into an Excel sheet with contact information, called 'contacts.xlsx'."
3-28,2-8,True,0.4788,0.4545,0.6025,0.2273,True,calendar.create,False,False,"Use OCR to extract text from Bob's card and convert them into contact.xlsx with contact information, schedule a meeting with manager Alice at 1:00 p.m 5/21/2024 named meeting.ics","Use OCR to extract text from business cards and convert them into an Excel sheet with contact information, called 'contacts.xlsx'."
3-29,2-8,False,0.3742,0.3636,0.5112,0.1905,False,email.send,False,False,"Collect all contact cards except Tom's, save their information in contact.xlsx, first header is name, save in alphabetic order by name, send contact.xlsx to Tom via contact.eml for information","Use OCR to extract text from business cards and convert them into an Excel sheet with contact information, called 'contacts.xlsx'."
3-30,2-8,False,0.4072,0.4545,0.4583,0.2778,False,fs.folder,False,False,"Collect all contact cards, save their information in contact.xlsx, save in alphabetic order by name, first header is name, save in folder named contacts","Use OCR to extract text from business cards and convert them into an Excel sheet with contact information, called 'contacts.xlsx'."
3-32,2-49,False,0.2512,0.4,0.1236,0.1429,False,fs.folder;image.read;image.write;pdf.read;pdf.write,False,False,"Scan printed car inventory lists from PDF, convert them to Excel file car_inventory.xlsx using OCR, save in folder named cars","extract score table from email, save as excel file score.xlsx"
3-33,1-1,False,0.364,0.5455,0.2414,0.2609,True,calendar.create;excel.write;image.read;pdf.read,False,False,"Scan printed car inventory lists from PDF, convert them to Excel file car_inventory.xlsx, create a meeting.ics to schedule meeting for Bob with the first driver in car_inventory.xlsx at 6/1/2024 10:00 a.m",Add a meeting to Bob's calendar at 5/17/2024 10:30 a.m to 11:00 a.m
3-34,1-1,False,0.3568,0.5455,0.2695,0.2,True,calendar.create;excel.write;image.read;image.write;pdf.read;pdf.write;reason.filter,False,False,"Scan printed car inventory lists from PDF, save cars that milage is lower than 40000 to Excel file good_car.xlsx using OCR, create a meeting.ics to schedule meeting for Bob with the first driver in good_car.xlsx at 6/1/2024 10:00 a.m",Add a meeting to Bob's calendar at 5/17/2024 10:30 a.m to 11:00 a.m
3-35,2-10,True,0.7153,0.875,0.6619,0.5833,True,reason.aggregate,False,False,"Put student scores from scanned PDF file to scores.xlsx, email student with highest score for reward named reward.eml",Put first 5 student scores from scanned PDF file to score.xlsx
3-36,2-10,True,0.6641,0.875,0.6518,0.3889,True,calendar.create;reason.aggregate,False,False,"Put student scores from scanned PDF file to scores.xlsx, schedule a meeting meeting.ics with student who has the lowest score at 6/1/2024 10:30 a.m",Put first 5 student scores from scanned PDF file to score.xlsx
3-37,2-10,False,0.7899,0.8571,0.8016,0.6667,True,fs.folder;image.write;pdf.write,False,False,"Put student scores from scanned PDF file to scores.xlsx, save it in folder scores",Put first 5 student scores from scanned PDF file to score.xlsx
3-38,2-49,False,0.302,0.4,0.2148,0.2,False,fs.folder,False,False,"extract students and their IDs, collect in excel file SIDs.xlsx, save in folder IDs","extract score table from email, save as excel file score.xlsx"
3-39,1-6,False,0.2831,0.2222,0.4484,0.1053,True,excel.write;fs.folder,False,False,"extract students and their IDs, split them in two excel files SID_Class_1.xlsx and SID_Class_2.xlsx, save in two folders Class1 and Class2 respectively","add a new header Class, randomly assign each student to class 1 to class 5 in class member excel file"
3-40,2-11,True,0.5556,0.6667,0.605,0.3,True,calendar.create,False,False,"Collect car trading records and organize them into car_records.xlsx, schedule a meeting meeting.ics between the first case buyer and seller at 6/1/2024 1:00 p.m",Collect car trading records and only organize the information about the car I bought into car_records.xlsx
3-41,2-11,False,0.3968,0.6,0.2594,0.2727,True,fs.folder,False,False,"collect company trading and save in company_trading.xlsx, save it in folder trading",Collect car trading records and only organize the information about the car I bought into car_records.xlsx
3-42,2-11,False,0.348,0.5,0.2302,0.25,True,email.send,False,False,"collect company trading and save in company_trading.xlsx, email it to president",Collect car trading records and only organize the information about the car I bought into car_records.xlsx
3-43,2-12,True,0.8844,1.0,0.8888,0.6923,True,email.send,False,False,"Scan handwritten notes from a meeting agenda, convert them to text using OCR, and add them to a calendar file meeting.ics, email it to Alice for record","Scan handwritten notes from a meeting agenda, convert them to text, and add them to a calendar file meeting.ics"
3-44,2-17,False,0.2681,0.3333,0.243,0.1818,False,fs.folder;image.read;image.write,False,False,"read daily schedule from image, save all events in file daily_schedule.txt, save it in folder daily_schedule","Schedule meetings for students in each class seperately, create calendar events for them"
3-45,2-13,False,1.0,1.0,1.0,1.0,True,,True,True,"Schedule a team training session for all participants from excel file, create calendar events for each member in their name","Schedule a team training session for all participants from excel file, create calendar events for each member in their name"
3-46,2-14,False,0.6766,0.8,0.6972,0.5,False,email.send,False,False,"schedule a reward meeting to the top-three students in midterm 2, create calendar event reward for them with their score in midterm 2. email to top-three students separately with the same details in the calendar event.",schedule a reward meeting for the top-three students in score excel file and create calendar events for each of them.
3-47,2-14,False,0.6082,0.75,0.5282,0.5,False,pdf.write,False,False,"schedule a reward meeting to the top-three students, write reward statement in statement.pdf",schedule a reward meeting for the top-three students in score excel file and create calendar events for each of them.
3-48,2-13,False,0.817,0.8889,0.7815,0.7273,True,reason.filter,False,True,"Schedule a team training session for members in section A from excel file, create calendar events file for each member in their name","Schedule a team training session for all participants from excel file, create calendar events for each member in their name"
3-49,2-17,False,0.4083,0.5714,0.3338,0.2222,True,reason.filter,False,False,"schedule a helping section, pair one student whose score is in section A/B and one student in section C, create calendar events for each of them using their names, email those students for notification","Schedule meetings for students in each class seperately, create calendar events for them"
3-50,2-15,True,0.8988,1.0,0.9242,0.7,True,image.write,False,False,"Convert meeting agenda from calendar into Excel file meeting_agenda.xlsx for further analysis, create an image post agenda.jpg",Convert meeting agenda from calendar into Excel file meeting_agenda.xlsx for further analysis
3-51,2-15,True,0.8974,1.0,0.9123,0.7,True,email.send,False,False,"Convert meeting agenda from calendar into Excel file meeting_agenda.xlsx for further analysis, email it to manager Rena",Convert meeting agenda from calendar into Excel file meeting_agenda.xlsx for further analysis
3-52,2-16,True,0.7299,1.0,0.5811,0.5455,True,calendar.create;email.send,False,False,"Create meeting agenda from Excel data and add it to my calendar and email to the participants emails as reminders, separately.",Create meeting agenda from Excel data and add it to my calendar
3-53,2-17,False,0.5404,0.7143,0.5361,0.2941,True,fs.folder;fs.rename,False,False,"For students in each class seperately, create calendar events for them, create different folders by class numbers (folder name should have the format class_x) and save the student name as a file [NAME].txt in the corresponding folder","Schedule meetings for students in each class seperately, create calendar events for them"
3-54,2-18,True,0.5838,0.7143,0.6352,0.2778,True,email.send,False,False,"Write a statement in reward.docx to the student who got the highest score on midterm1, email this to student's parents (the name of the email file is student_name.eml). Student's parents' email have the form student_name@mail.com.","Write a statement in docx file to the student with the highest score in the class, use the student's name as filename"
3-55,2-18,False,0.5565,0.7143,0.4786,0.3571,False,reason.filter,False,False,"Write a statement in reward.docx to the student who got the best midterm1 score in the class, make a post reward.jpg","Write a statement in docx file to the student with the highest score in the class, use the student's name as filename"
3-56,2-6,False,0.3586,0.4,0.3859,0.1818,False,word.read;word.write,False,False,"assign homework ""read book and write essay"" in hw1.docx for students in class 1.",Scan PDF homework to homework.docx for editing
3-57,2-6,False,0.3075,0.4,0.3024,0.1333,False,email.read;email.send;word.read;word.write,False,False,"assign homework ""read book and write essay"" in hw1.docx for students in class 1, email hw1.docx to Carol and Anna in class1",Scan PDF homework to homework.docx for editing
3-58,2-21,False,0.255,0.5,0.0608,0.1429,False,,False,True,write all shopping item in shopping.docx from shopping list,"Extract Bill's previous courses from Bill_course_list.xlsx, and put the course in classes_taken.docx. Each course should be on a seperate line."
3-59,2-19,True,0.9552,1.0,0.9649,0.9,True,excel.write;pdf.read;pdf.write,False,False,"Analyze Excel data of students' grade and generate a teaching report in teaching.docx, convert to teaching.pdf",Analyze Excel data of students' grade and generate a teaching report in teaching.docx
3-60,2-20,False,0.8163,0.9,0.8185,0.6923,True,fs.folder,False,False,"Find all students who are taking CS161 and put the name and student ID of students into students.docx, save in folder CS161","Find all students who are taking CS161 and put the name and Student ID of students into students.docx. Each student should be on seperate lines, with the format `Student ID, name`."
3-61,2-21,False,0.4353,0.4167,0.5448,0.2174,True,email.read;email.send;excel.read;reason.predict,False,False,"Extract a student's previous courses from Excel, suggest four courses he should take this quarter and put it in classes.docx, email classes.docx to student. The email file should have the name thomas.eml.","Extract Bill's previous courses from Bill_course_list.xlsx, and put the course in classes_taken.docx. Each course should be on a seperate line."
3-62,2-22,True,0.8033,0.8571,0.8798,0.6,True,pdf.read;pdf.write,False,False,"Generate a file report.docx based on midterm1 and midterm2 scores, convert to report.pdf","Generate a word report based on midterm1 and midterm2 scores, the filename is 'midterm_report.docx'."
3-63,2-22,False,0.8031,0.8571,0.8709,0.6,True,fs.folder,False,False,"Generate a file report.docx based on midterm1 and midterm2 scores, save in folder named report","Generate a word report based on midterm1 and midterm2 scores, the filename is 'midterm_report.docx'."
3-64,2-34,False,0.3083,0.3333,0.3603,0.1333,False,reason.predict,False,False,"give some instruction and prediction in file house_price.docx based on house price index, convert to a post housing.jpg",Analyze housing price and print the lowest price in lowest.txt
3-65,1-22,False,0.3536,0.6,0.2151,0.2,False,reason.predict,False,False,"give some instruction and prediction in file house_price.docx based on house price index, email to Bob for reference. The subject of email should be Housing_Instruction",what is the subject of the email I sent to Bob?
3-66,1-22,False,0.2602,0.4,0.2107,0.1111,False,excel.read;excel.write;reason.predict;word.write,False,False,"suggest cars and save in cars.docx for people whose budget is 50000$ based on car trading excel file, email to Tom for reference with subject 'Cars for you'",what is the subject of the email I sent to Bob?
3-67,2-6,False,0.2124,0.4,0.0539,0.1333,False,excel.read;excel.write;pdf.write;reason.predict;word.write,False,False,"suggest cars and save in cars.docx for people whose budget is 50000$ based on car trading excel file, convert to suggesting.pdf",Scan PDF homework to homework.docx for editing
3-68,2-23,False,0.4492,0.5,0.5024,0.2105,False,email.read,False,False,"Extract data from PDF invoices from sales and sum all the costs in file costs.xlsx, if cost in larger than 1300$, email to Bob with subject 'Costs'",Extract data from PDF invoice (Invoice.pdf) and put the total due in file costs.xlsx
3-69,2-24,True,0.8004,0.8333,0.8723,0.625,True,excel.write;pdf.read;word.read,False,False,"Extract the score and name from pdf then calculate the score in excel score.xlsx, convert to score.docx",Extract the score and name then calculate the average score in excel score.xlsx
3-70,2-25,False,0.9365,1.0,0.9252,0.8889,True,,False,True,"Convert student homework word documents to PDF and rename them into same name with .pdf suffix, convert to images with same name",Convert student homework word documents to PDF and rename them into same name with .pdf suffix
3-71,2-27,True,0.7195,1.0,0.5795,0.5,True,pdf.write,False,False,"Extract schedule from PDF and add it to a calendar meeting_agenda.ics, also save it as agenda.jpg",Extract schedule from PDF and add it to my calendar.
3-72,2-27,False,0.5352,0.75,0.4387,0.3,False,fs.folder;pdf.write;text.write,False,False,"Extract schedule from PDF and add it to a text file meeting_agenda.txt, also save it in folder named meetings",Extract schedule from PDF and add it to my calendar.
3-73,2-29,False,0.7081,0.9,0.694,0.4286,True,,False,True,"Scan Conference Invitation PDF and search for conference date (If no time is specified, use 6:00 am as default start time), add event to that date on calender, save as invitation.ics, make an invitation post named invitation.jpg","Scan Conference Invitation PDF and search for conference date, add event to that date on calender, save in my calendar."
3-74,2-29,True,0.8123,0.9,0.8926,0.5625,True,excel.write,False,False,"Scan Conference Invitation PDF and search for conference date, add event to that date on calender, save as invitation.ics, record date, location, conference name, etc. in excel conference.xlsx","Scan Conference Invitation PDF and search for conference date, add event to that date on calender, save in my calendar."
3-75,2-30,True,0.5157,0.6667,0.4472,0.3636,True,email.read;pdf.read,False,False,"Extract the student name from docx then rename this pdf to {name}.pdf in shell, email teacher Alice with pdf file",Extract the student ID from docx then rename this docx file to {ID}.docx where the ID is the student ID.
3-76,2-31,True,0.8385,1.0,0.8391,0.6,True,email.send,False,False,"What is the maximum prices of the cars sold in March, send it via email to the buyer Tom",What is the maximum prices of the cars sold in March?
3-77,2-34,False,0.1945,0.1667,0.2736,0.0667,False,image.read;reason.predict;word.write,False,False,"Predict house price index in year 2030 based on house price index image, write your answer in prediction.docx",Analyze housing price and print the lowest price in lowest.txt
3-78,2-32,True,0.5495,0.5,0.7141,0.2857,True,reason.summarize,False,False,"Identify whether the reimbursement amount exceeds the company budget, report to manager Tom about reimbursement",Does the reimbursement amount exceed the company budget? Yes or No?
3-79,2-32,True,0.5169,0.5,0.6641,0.25,True,calendar.create,False,False,"Identify whether the reimbursement amount exceeds the company budget, schedule a meeting as meeting.ics for staff to talk about reimbursement",Does the reimbursement amount exceed the company budget? Yes or No?
3-80,1-18,False,0.2483,0.4,0.1294,0.1333,False,fs.folder;reason.aggregate,False,False,"Compare income and expenditure based on company trading record, write a short analysis and save it as trading_record_post.jpg in folder named trading_account",extract concert post from pdf file and save as image named 'concert_post.jpg'
3-81,2-38,False,0.2238,0.3333,0.1358,0.1176,False,,False,False,"Compare income and expenditure based on company trading record, email a short analysis to manager Alice (Alice@abc.com)",read notification pdf file and send email notification.eml to Alice
3-82,2-33,False,0.4404,0.5,0.4535,0.25,False,word.write,False,False,"Check student grade in midterm1, write top-5 students' names in list.docx",Print the top 3 students in midterm1 into a file named top3.txt. 
3-83,1-6,True,0.3734,0.25,0.5978,0.1333,True,pdf.write;reason.filter,False,False,"which class has the least students, save all students' names in this class in Class_member.pdf","add a new header Class, randomly assign each student to class 1 to class 5 in class member excel file"
3-84,2-36,False,0.2826,0.4,0.2196,0.1333,False,,False,True,"Analyze relationship between sleeping hours and age, weight, gender from survey result, convert report to report.docx file",Read grade in transcripts and generate a grade report report.docx
3-85,2-19,False,0.2074,0.2222,0.1807,0.1053,False,,False,False,"Analyze relationship between sleeping hours and age, weight, gender from survey result, save report as report.jpg",Analyze Excel data of students' grade and generate a teaching report in teaching.docx
3-86,2-36,False,0.8378,1.0,0.8579,0.625,True,pdf.read;pdf.write,False,True,"Read grade in transcripts and generate a grade report called transcripts_report.docx, also save the report as transcripts_report_pdf_version.pdf",Read grade in transcripts and generate a grade report report.docx
3-87,1-12,False,0.2185,0.3333,0.1392,0.125,True,reason.filter,False,False,"if Dean's list requires term average gpa to be higher than 3.9, how many terms can this students be awarded on Dean's list? Email to student about this result","what is total number of students in class CS161, and how many of them are senior?"
3-88,1-18,False,0.3729,0.6,0.1986,0.25,False,,False,False,"Analyze relationship between revenues and sales unit, regions, save as an image post named analyze.jpg",extract concert post from pdf file and save as image named 'concert_post.jpg'
3-89,2-34,False,0.2222,0.3333,0.144,0.1176,False,fs.folder;reason.summarize,False,False,"Analyze relationship between revenues and sales unit, regions, save your results in the analysis.txt and put it in a folder named report",Analyze housing price and print the lowest price in lowest.txt
3-90,2-16,False,0.3387,0.5,0.2718,0.2727,False,calendar.read;pdf.read;pdf.write;reason.summarize,False,False,"for calendar data, find frequency of meeting, generate a file report.pdf about meeting frequency",Create meeting agenda from Excel data and add it to my calendar
3-91,2-27,False,0.3261,0.5,0.2708,0.1429,False,reason.check;word.write,False,False,"Do these calendar events have time conflicts? write confliction on schedule.docx, or combine all schedules in that docx file",Extract schedule from PDF and add it to my calendar.
3-92,2-3,False,0.3203,0.4286,0.274,0.1667,False,email.send,False,False,"Bob was invited to party hold by Jane Doe, send an email from Jane to Bob to notify Bob, make a post welcome.jpg for Bob","read a pdf file google_form.pdf, make an image post welcome.jpg"
3-93,2-40,True,0.8434,0.8571,0.9073,0.75,True,pdf.read;pdf.write,False,False,"read Bob's calendar event and send email to Bob for all events in calendar, save all events in event.pdf",read Bob's calendar event and send email using event names to Bob for all events in calendar
3-94,2-40,False,0.4731,0.5714,0.4473,0.3077,False,,False,False,"read Bob's and Tom's calendars, find their common events and send email to them, make a post common_events.jpg",read Bob's calendar event and send email using event names to Bob for all events in calendar
3-95,2-42,True,0.7173,0.7692,0.7345,0.5556,True,reason.summarize,False,False,"make a table email_counting.xlsx to show how many emails for each people in the email list, summarize it in email_stat.pdf","make a table email_counting.xlsx to show how many emails for each people in the email list, first row is Alice, second row is Bob"
3-96,2-43,True,0.8045,0.8889,0.8462,0.6154,True,word.read;word.write,False,False,"read company revenues and send a email revenues.eml containing data to Bob for reporting, also write a revenue.docx to summarize it",read company revenues and send a email revenues.eml containing all years' revenues to Bob for reporting
3-97,2-48,True,0.6437,0.75,0.5862,0.5,True,pdf.read;pdf.write;reason.summarize,False,False,"extract Bob's and Tom's calendar and count their sleeping time, class time length, saved to excel file named events.xlsx, write summarization in daily_event.pdf","extract Bob's and Tom's calendar and count their sleeping time, saved to excel file named events.xlsx, first row is Bob, second row is Tom"
3-98,2-49,False,0.9139,1.0,0.918,0.8333,True,fs.folder,False,False,"extract score table from email, save as excel file score.xlsx, save excel file in folder named score","extract score table from email, save as excel file score.xlsx"
3-99,2-50,False,0.7302,0.75,0.8061,0.5455,False,word.write,False,False,"extract revenue data and save as a table in excel file revenues.xlsx, write statements in revenues.docx","extract revenue data from my email and save it as a table in excel file revenues.xlsx, headers are year and revenues"
3-100,2-50,True,0.5999,0.6667,0.6325,0.4,True,email.send,False,False,"extract revenue numbers and save as a table in excel file revenues.xlsx, email the info to manager Tom (Tom@gmail.com)","extract revenue data from my email and save it as a table in excel file revenues.xlsx, headers are year and revenues"
